Employee_ID,Name,Department,Age,Annual_Salary,Years_at_Company,Remote_Status,Last_Performance_Rating
101,Employee_1,Marketing,49.0,87107.0,5.0,,3.0
102,Employee_2,Sales,28.0,96663.0,8.0,On-site,1.0
103,Employee_3,Finance,30.0,60708.0,13.0,,
104,Employee_4,Sales,29.0,94811.0,1.0,On-site,
105,Employee_5,Sales,33.0,47811.0,14.0,Hybrid,2.0
106,Employee_6,HR,55.0,101250.0,5.0,Remote,2.0
107,Employee_7,,,117082.0,,Hybrid,2.0
108,Employee_8,Finance,44.0,79754.0,12.0,Hybrid,2.0
109,Employee_9,Finance,,56411.0,1.0,,3.0
110,Employee_10,Sales,58.0,47911.0,4.0,Hybrid,
111,Employee_11,Marketing,56.0,,13.0,On-site,4.0
112,Employee_12,Finance,43.0,53680.0,5.0,Remote,
113,Employee_13,Sales,,,7.0,On-site,
114,Employee_14,HR,56.0,56111.0,1.0,Remote,
115,Employee_15,Marketing,22.0,82504.0,3.0,On-site,5.0
116,Employee_16,HR,,46802.0,,,
117,Employee_17,Marketing,58.0,53155.0,9.0,Hybrid,5.0
118,Employee_18,Sales,35.0,118656.0,,Remote,4.0
119,Employee_19,IT,24.0,84384.0,6.0,Remote,
120,Employee_20,Marketing,22.0,,10.0,,5.0
121,Employee_21,HR,26.0,66918.0,3.0,On-site,5.0
122,Employee_22,Sales,47.0,105713.0,8.0,On-site,1.0
123,Employee_23,Marketing,35.0,75306.0,14.0,Remote,4.0
124,Employee_24,IT,48.0,61646.0,8.0,Hybrid,2.0
125,Employee_25,IT,30.0,91843.0,2.0,On-site,5.0
126,Employee_26,Finance,36.0,61371.0,6.0,On-site,1.0
127,Employee_27,Finance,36.0,122371.0,7.0,On-site,3.0
128,Employee_28,HR,47.0,47049.0,2.0,,1.0
129,Employee_29,Marketing,,,,Remote,3.0
130,Employee_30,Marketing,53.0,65932.0,,Remote,
131,Employee_31,Finance,53.0,,2.0,Remote,2.0
132,Employee_32,Marketing,25.0,106434.0,10.0,Remote,
133,Employee_33,Marketing,51.0,,1.0,Hybrid,5.0
134,Employee_34,IT,58.0,88016.0,8.0,Hybrid,4.0
135,Employee_35,Finance,,52400.0,,Remote,1.0
136,Employee_36,Sales,,87642.0,9.0,On-site,5.0
137,Employee_37,Finance,50.0,,11.0,Remote,1.0
138,Employee_38,Sales,57.0,96407.0,6.0,Hybrid,3.0
139,Employee_39,IT,34.0,,7.0,Hybrid,1.0
140,Employee_40,,53.0,,13.0,On-site,1.0
141,Employee_41,Marketing,,51295.0,10.0,,1.0
142,Employee_42,IT,,104040.0,7.0,Remote,4.0
143,Employee_43,Marketing,49.0,57183.0,,On-site,1.0
144,Employee_44,HR,23.0,74299.0,3.0,Remote,5.0
145,Employee_45,HR,27.0,57874.0,2.0,Remote,
146,Employee_46,IT,49.0,77711.0,9.0,,3.0
147,Employee_47,HR,49.0,50539.0,8.0,Remote,1.0
148,Employee_48,,41.0,98351.0,13.0,Hybrid,4.0
149,Employee_49,,51.0,106267.0,12.0,,
150,Employee_50,Marketing,32.0,93354.0,10.0,,
151,Employee_51,Marketing,49.0,47557.0,7.0,On-site,1.0
152,Employee_52,,,83360.0,9.0,On-site,3.0
153,Employee_53,Marketing,54.0,47200.0,4.0,Remote,4.0
154,Employee_54,Sales,22.0,113497.0,13.0,On-site,1.0
155,Employee_55,Finance,48.0,91975.0,4.0,On-site,4.0
156,Employee_56,IT,34.0,66357.0,1.0,Remote,4.0
157,Employee_57,Marketing,24.0,122505.0,8.0,,3.0
158,Employee_58,HR,27.0,47869.0,14.0,Remote,
159,Employee_59,Marketing,29.0,106135.0,14.0,On-site,
160,Employee_60,HR,,,12.0,On-site,5.0
161,Employee_61,HR,30.0,83467.0,3.0,Remote,3.0
162,Employee_62,Marketing,58.0,68328.0,7.0,Hybrid,
163,Employee_63,Sales,54.0,48987.0,12.0,On-site,1.0
164,Employee_64,HR,45.0,,2.0,On-site,4.0
165,Employee_65,HR,36.0,,2.0,,3.0
166,Employee_66,Marketing,,91214.0,7.0,Remote,5.0
167,Employee_67,HR,53.0,115271.0,6.0,On-site,
168,Employee_68,HR,45.0,89064.0,,,5.0
169,Employee_69,,33.0,,9.0,,
170,Employee_70,Marketing,23.0,85818.0,10.0,On-site,
171,Employee_71,IT,24.0,90525.0,14.0,Hybrid,
172,Employee_72,Sales,58.0,64830.0,13.0,On-site,2.0
173,Employee_73,,38.0,,6.0,Remote,
174,Employee_74,HR,23.0,,10.0,Remote,
175,Employee_75,Sales,23.0,124909.0,10.0,,
176,Employee_76,HR,49.0,92333.0,6.0,Hybrid,3.0
177,Employee_77,IT,44.0,48436.0,,On-site,5.0
178,Employee_78,Marketing,58.0,119290.0,,Remote,3.0
179,Employee_79,,53.0,121213.0,10.0,Hybrid,3.0
180,Employee_80,Marketing,54.0,50895.0,6.0,On-site,2.0
181,Employee_81,Sales,,64738.0,6.0,Hybrid,4.0
182,Employee_82,IT,40.0,75746.0,11.0,Remote,1.0
183,Employee_83,Sales,23.0,,12.0,Remote,2.0
184,Employee_84,,47.0,93404.0,5.0,Remote,2.0
185,Employee_85,IT,53.0,99045.0,1.0,Hybrid,
186,Employee_86,IT,27.0,,8.0,Hybrid,1.0
187,Employee_87,IT,53.0,50600.0,5.0,,5.0
188,Employee_88,IT,,85764.0,12.0,Hybrid,5.0
189,Employee_89,Marketing,32.0,119543.0,,Remote,2.0
190,Employee_90,Finance,38.0,,,Remote,1.0
191,Employee_91,Finance,,101835.0,5.0,,2.0
192,Employee_92,IT,45.0,118744.0,7.0,Hybrid,3.0
193,Employee_93,,26.0,,4.0,,2.0
194,Employee_94,Finance,55.0,63589.0,6.0,Remote,2.0
195,Employee_95,IT,27.0,88484.0,13.0,Hybrid,5.0
196,Employee_96,Finance,43.0,81212.0,4.0,On-site,5.0
197,Employee_97,Sales,32.0,,14.0,On-site,5.0
198,Employee_98,HR,37.0,92202.0,3.0,Remote,
199,Employee_99,HR,54.0,77635.0,7.0,Hybrid,5.0
200,Employee_100,IT,30.0,108208.0,8.0,On-site,1.0
